Model Iteration,Accuracy,Precision,Recall,F1 Score,AUC-ROC
Baseline - Logistic Regression,0.8500749625187406,0.45454545454545453,0.15463917525773196,0.23076923076923078,0.5615301139446555
Baseline - Random Forest,0.8440779610194903,0.4146341463414634,0.17525773195876287,0.2463768115942029,0.566576234400434
Baseline - Ridge Regression,0.8530734632683659,0.47058823529411764,0.08247422680412371,0.14035087719298245,0.5333423765599565
Baseline - Stochastic Gradient Descent,0.8455772113943029,0.44,0.2268041237113402,0.29931972789115646,0.5888406583468981
Baseline - Decision Tree,0.8380809595202399,0.4225352112676056,0.30927835051546393,0.35714285714285715,0.6186742629770302
Baseline - K Nearest Neighbour,0.8440779610194903,0.4426229508196721,0.27835051546391754,0.34177215189873417,0.60935069632845
Baseline - Support Vector Machine,0.8500749625187406,0.4,0.061855670103092786,0.10714285714285714,0.5230330982094411
Baseline - AdaBoost Regression,0.8545727136431784,0.5,0.14432989690721648,0.224,0.5598842466992223
Baseline - XGBoost,0.7721139430284858,0.31543624161073824,0.4845360824742268,0.3821138211382114,0.6527943570265871
Baseline - LightGBM,0.8470764617691154,0.4418604651162791,0.1958762886597938,0.2714285714285714,0.5768855127509495
Baseline - CatBoost,0.8500749625187406,0.45454545454545453,0.15463917525773196,0.23076923076923078,0.5615301139446555
Engineered - Logistic Regression,0.8500749625187406,0.45454545454545453,0.15463917525773196,0.23076923076923078,0.5615301139446555
Engineered - Random Forest,0.8440779610194903,0.4146341463414634,0.17525773195876287,0.2463768115942029,0.566576234400434
Engineered - Ridge Regression,0.8530734632683659,0.47058823529411764,0.08247422680412371,0.14035087719298245,0.5333423765599565
Engineered - Stochastic Gradient Descent,0.8455772113943029,0.44,0.2268041237113402,0.29931972789115646,0.5888406583468981
Engineered - Decision Tree,0.8380809595202399,0.4225352112676056,0.30927835051546393,0.35714285714285715,0.6186742629770302
Engineered - K Nearest Neighbour,0.8440779610194903,0.4426229508196721,0.27835051546391754,0.34177215189873417,0.60935069632845
Engineered - Support Vector Machine,0.8500749625187406,0.4,0.061855670103092786,0.10714285714285714,0.5230330982094411
Engineered - AdaBoost Regression,0.8545727136431784,0.5,0.14432989690721648,0.224,0.5598842466992223
Engineered - XGBoost,0.7721139430284858,0.31543624161073824,0.4845360824742268,0.3821138211382114,0.6527943570265871
Engineered - LightGBM,0.8470764617691154,0.4418604651162791,0.1958762886597938,0.2714285714285714,0.5768855127509495
Engineered - CatBoost,0.8500749625187406,0.45454545454545453,0.15463917525773196,0.23076923076923078,0.5615301139446555
Engineered Only - Logistic Regression,0.8500749625187406,0.45454545454545453,0.15463917525773196,0.23076923076923078,0.5615301139446555
Engineered Only - Random Forest,0.8440779610194903,0.4146341463414634,0.17525773195876287,0.2463768115942029,0.566576234400434
Engineered Only - Ridge Regression,0.8530734632683659,0.47058823529411764,0.08247422680412371,0.14035087719298245,0.5333423765599565
Engineered Only - Stochastic Gradient Descent,0.8455772113943029,0.44,0.2268041237113402,0.29931972789115646,0.5888406583468981
Engineered Only - Decision Tree,0.8380809595202399,0.4225352112676056,0.30927835051546393,0.35714285714285715,0.6186742629770302
Engineered Only - K Nearest Neighbour,0.8440779610194903,0.4426229508196721,0.27835051546391754,0.34177215189873417,0.60935069632845
Engineered Only - Support Vector Machine,0.8500749625187406,0.4,0.061855670103092786,0.10714285714285714,0.5230330982094411
Engineered Only - AdaBoost Regression,0.8545727136431784,0.5,0.14432989690721648,0.224,0.5598842466992223
Engineered Only - XGBoost,0.7721139430284858,0.31543624161073824,0.4845360824742268,0.3821138211382114,0.6527943570265871
Engineered Only - LightGBM,0.8470764617691154,0.4418604651162791,0.1958762886597938,0.2714285714285714,0.5768855127509495
Engineered Only - CatBoost,0.8500749625187406,0.45454545454545453,0.15463917525773196,0.23076923076923078,0.5615301139446555
