Model Iteration,Accuracy,Precision,Recall,F1 Score,AUC-ROC
Baseline - Logistic Regression,0.8590704647676162,0.5333333333333333,0.24742268041237114,0.3380281690140845,0.6052902875746067
Baseline - Random Forest,0.9415292353823088,0.9027777777777778,0.6701030927835051,0.7692307692307693,0.8289111955145595
Baseline - Ridge Regression,0.8605697151424287,0.6,0.12371134020618557,0.20512820512820512,0.5548381262434436
Baseline - Stochastic Gradient Descent,0.8500749625187406,0.38461538461538464,0.05154639175257732,0.09090909090909091,0.5187556520166395
Baseline - AdaBoost Regression,0.8710644677661169,0.5774647887323944,0.422680412371134,0.4880952380952381,0.6850244167118829
With Avg Call Time - Logistic Regression,0.8575712143928036,0.5227272727272727,0.23711340206185566,0.3262411347517731,0.600135648399349
With Avg Call Time - Random Forest,0.9370314842578711,0.8873239436619719,0.6494845360824743,0.75,0.8177247241815879
With Avg Call Time - Ridge Regression,0.8590704647676162,0.5789473684210527,0.1134020618556701,0.1896551724137931,0.5496834870681859
With Avg Call Time - Stochastic Gradient Descent,0.848575712143928,0.3333333333333333,0.041237113402061855,0.07339449541284404,0.5136010128413818
With Avg Call Time - AdaBoost Regression,0.8755622188905547,0.5972222222222222,0.44329896907216493,0.5088757396449705,0.6962108880448543
With 5 New Features - Logistic Regression,0.8650674662668666,0.5636363636363636,0.31958762886597936,0.40789473684210525,0.6387411828540424
With 5 New Features - Random Forest,0.967016491754123,1.0,0.7731958762886598,0.872093023255814,0.8865979381443299
With 5 New Features - Ridge Regression,0.8620689655172413,0.6086956521739131,0.14432989690721648,0.23333333333333334,0.5642702116115029
With 5 New Features - Stochastic Gradient Descent,0.8620689655172413,0.7777777777777778,0.07216494845360824,0.1320754716981132,0.5343280882618918
With 5 New Features - AdaBoost Regression,0.9025487256371814,0.7051282051282052,0.5670103092783505,0.6285714285714286,0.7633297160426841
Tuned - Logistic Regression,0.8650674662668666,0.5636363636363636,0.31958762886597936,0.40789473684210525,0.6387411828540424
Tuned - Random Forest,0.967016491754123,1.0,0.7731958762886598,0.872093023255814,0.8865979381443299
Tuned - Ridge Regression,0.8620689655172413,0.6086956521739131,0.14432989690721648,0.23333333333333334,0.5642702116115029
Tuned - Stochastic Gradient Descent,0.8620689655172413,0.7777777777777778,0.07216494845360824,0.1320754716981132,0.5343280882618918
Tuned - AdaBoost Regression,0.9025487256371814,0.7051282051282052,0.5670103092783505,0.6285714285714286,0.7633297160426841
With Categorized Call Time - Logistic Regression,0.8710644677661169,0.6,0.3402061855670103,0.4342105263157895,0.6508048471694701
With Categorized Call Time - Random Forest,0.9655172413793104,0.9868421052631579,0.7731958762886598,0.8670520231213873,0.8857207451618737
With Categorized Call Time - Ridge Regression,0.8695652173913043,0.65625,0.21649484536082475,0.32558139534883723,0.5985982998733949
With Categorized Call Time - Stochastic Gradient Descent,0.8620689655172413,0.6666666666666666,0.10309278350515463,0.17857142857142858,0.5471604268402966
With Categorized Call Time - AdaBoost Regression,0.9025487256371814,0.7051282051282052,0.5670103092783505,0.6285714285714286,0.7633297160426841
Tuned (With Categorized Call Time) - Logistic Regression,0.8710644677661169,0.6122448979591837,0.30927835051546393,0.410958904109589,0.6379725085910652
Tuned (With Categorized Call Time) - Random Forest,0.9535232383808095,0.9583333333333334,0.711340206185567,0.8165680473372781,0.8530385241454151
Tuned (With Categorized Call Time) - Ridge Regression,0.8650674662668666,0.6206896551724138,0.18556701030927836,0.2857142857142857,0.5831343823476217
Tuned (With Categorized Call Time) - Stochastic Gradient Descent,0.8725637181409296,0.6,0.3711340206185567,0.4585987261146497,0.664514378730331
Tuned (With Categorized Call Time) - AdaBoost Regression,0.904047976011994,0.7037037037037037,0.5876288659793815,0.6404494382022472,0.7727618014107434
