Model Iteration,Accuracy,Precision,Recall,F1 Score,AUC-ROC
Baseline - Logistic Regression,0.8590704647676162,0.5333333333333333,0.24742268041237114,0.3380281690140845,0.6052902875746067
Baseline - Random Forest,0.9415292353823088,0.9027777777777778,0.6701030927835051,0.7692307692307692,0.8289111955145595
Baseline - Ridge Regression,0.8605697151424287,0.6,0.12371134020618557,0.20512820512820512,0.5548381262434436
Baseline - Stochastic Gradient Descent,0.8500749625187406,0.38461538461538464,0.05154639175257732,0.0909090909090909,0.5187556520166395
Baseline - Decision Tree,0.9055472263868066,0.6931818181818182,0.6288659793814433,0.6594594594594594,0.7907487791644059
Baseline - K Nearest Neighbour,0.8860569715142429,0.6909090909090909,0.3917525773195876,0.5,0.6809640079580394
Baseline - Support Vector Machine,0.9085457271364318,0.8461538461538461,0.4536082474226804,0.5906040268456375,0.719786579851691
Baseline - AdaBoost Regression,0.8710644677661169,0.5774647887323944,0.422680412371134,0.48809523809523814,0.6850244167118829
Engineered - Logistic Regression,0.863568215892054,0.5576923076923077,0.29896907216494845,0.3892617449664429,0.629309097485983
Engineered - Random Forest,0.9325337331334332,0.9333333333333333,0.5773195876288659,0.7133757961783439,0.7851510218846084
Engineered - Ridge Regression,0.8725637181409296,0.7307692307692307,0.1958762886597938,0.3089430894308943,0.5917977934527039
Engineered - Stochastic Gradient Descent,0.841079460269865,0.3333333333333333,0.09278350515463918,0.14516129032258066,0.5306022788931092
Engineered - Decision Tree,0.8935532233883059,0.6326530612244898,0.6391752577319587,0.635897435897436,0.7880086814975583
Engineered - K Nearest Neighbour,0.881559220389805,0.6666666666666666,0.3711340206185567,0.47682119205298024,0.6697775366250678
Engineered - Support Vector Machine,0.9070464767616192,0.8181818181818182,0.4639175257731959,0.5921052631578948,0.7231868330620366
Engineered - AdaBoost Regression,0.8935532233883059,0.703125,0.4639175257731959,0.5590062111801242,0.7152920962199313
Engineered Only - Logistic Regression,0.8620689655172413,0.5555555555555556,0.25773195876288657,0.352112676056338,0.6113221197323205
Engineered Only - Random Forest,0.9205397301349325,0.9230769230769231,0.4948453608247423,0.6442953020134229,0.7439139084825466
Engineered Only - Ridge Regression,0.8605697151424287,0.6,0.12371134020618557,0.20512820512820512,0.5548381262434436
Engineered Only - Stochastic Gradient Descent,0.8920539730134932,0.711864406779661,0.4329896907216495,0.5384615384615384,0.7015825646590703
Engineered Only - Decision Tree,0.9070464767616192,0.6767676767676768,0.6907216494845361,0.6836734693877552,0.8172906493036716
Engineered Only - K Nearest Neighbour,0.896551724137931,0.7592592592592593,0.422680412371134,0.543046357615894,0.6999366974136373
Engineered Only - Support Vector Machine,0.9055472263868066,0.8035714285714286,0.4639175257731959,0.5882352941176471,0.7223096400795805
Engineered Only - AdaBoost Regression,0.8680659670164917,0.5692307692307692,0.38144329896907214,0.4567901234567901,0.6661602459757641
